,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
34,169301,88.0,sa,177578,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays computer games at 6pm. Watches movies on Saturday at 5pm. Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. You Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Sets the table at 6pm .
35,155129,90.0,sa,179493,4,2,26,Describing routines,"
      Igetup everyday at5am in the morning and do yoga. I usualy walk the dog in the afternoon. Imakes the dinner and sets the table everyday in the evening.Inever eats out. I surf the internet at night. I go shopping once aweek and pay the bill once amonthes.
    ",Imakes the dinner and sets the table everyday in the evening.Inever eats out .
36,104325,100.0,kw,179836,4,2,26,Describing routines,"
      Sean plays basketball every day. plays computer games at 6pm. watches movies on Saturday at 5pm. granny Does laundry on Tuesday afternoon. Does gardening in the morning. sets the table at 6pm. you feed the dog at 8am every day. walk the dog in the afternoon. feed the dog again at 5pm every day.
    ",Does gardening in the morning .
37,104325,100.0,kw,179836,4,2,26,Describing routines,"
      Sean plays basketball every day. plays computer games at 6pm. watches movies on Saturday at 5pm. granny Does laundry on Tuesday afternoon. Does gardening in the morning. sets the table at 6pm. you feed the dog at 8am every day. walk the dog in the afternoon. feed the dog again at 5pm every day.
    ",sets the table at 6pm .
38,33947,95.0,ae,181406,2,6,14,Telling someone what you're doing,"
      Hi Sue How are you. Is good to hear from you. Sorry i can't see you because i have other plans to go with my daughter for shopping. I will see you next time.
    ",Is good to hear from you .
39,110472,65.0,sa,186034,4,2,26,Describing routines,"
      Sara Mops the floor in the morning. Does ironing in the morning. Does laundry on Tuesday afternoon. Does gardening in the morning. Makes dinner at 5pm. Sets the table at 6pm. Feeds the dog at 8am every day. Walks the dog in the afternoon. Feeds the dog again at 4pm every day.
    ",Does ironing in the morning .
40,110472,65.0,sa,186034,4,2,26,Describing routines,"
      Sara Mops the floor in the morning. Does ironing in the morning. Does laundry on Tuesday afternoon. Does gardening in the morning. Makes dinner at 5pm. Sets the table at 6pm. Feeds the dog at 8am every day. Walks the dog in the afternoon. Feeds the dog again at 4pm every day.
    ",Does gardening in the morning .
41,110472,65.0,sa,186034,4,2,26,Describing routines,"
      Sara Mops the floor in the morning. Does ironing in the morning. Does laundry on Tuesday afternoon. Does gardening in the morning. Makes dinner at 5pm. Sets the table at 6pm. Feeds the dog at 8am every day. Walks the dog in the afternoon. Feeds the dog again at 4pm every day.
    ",Feeds the dog again at 4pm every day .
42,94380,94.0,sa,186944,4,2,26,Describing routines,"
      Makes breakfast at 6am every day.Cleans the table at 9am every day.Does the dishes at 7am every day. Does the laundry on tuesday moorning.Mops the floor once a week. Makes the dinner at 7pm every day.Sets the table at 7:30pm.Washes the dishes again after we finished dinner.Does the ironing at 8pm every day.
    ",Does the laundry on tuesday moorning.Mops the floor once a week .
43,35878,98.0,sa,187427,2,2,10,Writing a birthday invitation,"
      Hi! Im 30 on Saturday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 7:30. Hope you can come! falah
    ","Lets eat cake , dance and sing ."
44,20618,90.0,iq,190907,8,5,61,Selling items in an online auction,"
      Hello Dear customers,I want to sell Hour hand, it's one of modern style and brand of Swiss, and has color red. It's expensive because has the lobes of the Sapphire. has several uses can be hung on the neck and he wears them on hand, you can hide the screen lid decorated with a metal look like a bracelet.starting bid; $ 2000You max bid: ........I hope that you enjoy. Thank you for choosing my item,good luck
    ","has several uses can be hung on the neck and he wears them on hand , you can hide the screen lid decorated with a metal look like a bracelet.starting bid ; $ 2000You max bid : ........ I hope that you enjoy ."
45,145571,75.0,sa,197822,1,1,1,Introducing yourself by email,"
      Hi, my name's Abeer and I'm 29 years old, I'm a math teacher and my favorite hobby is decoration and i hope to be an excellent in an English language . Thanks a lot .
    ",Thanks a lot .
46,128631,100.0,sa,200091,3,6,22,Writing your online profile,"
      Name : Iman AL-Damigh. Age : 33. Birthday : 13 December. Like doing : Learning English and listening to music. Lives in : Onizah, Saudi Arabia. Favorite Season : spring. Color : pink. Animal : Small cat. Time : morning. Day : Thursday. Number : 2.
    ","Lives in : Onizah , Saudi Arabia ."
47,51824,90.0,ae,200442,1,7,7,Writing labels for a clothing store,"
      There are so many clothes. Thees clothes prices are $20 for pink jacket , $35 for black dress , $20 for skirt, $ 15 for blue shirt, $40 for gray pants. $30 for shoes and $45 for each bag.
    ","Thees clothes prices are $ 20 for pink jacket , $ 35 for black dress , $ 20 for skirt , $ 15 for blue shirt , $ 40 for gray pants ."
